Name,StartYear,EndYear
Charles,1914,1918
James,1918,1922
John,1922,1926
Herbert,1930,1934
Alfred,1926,1938
Wendell,1938,1942
Thomas,1942,1950
Adlai,1950,1958
Richard,1958,1962
Barry,1962,1966
Hubert,1966,1970
George,1970,1974
Gerald,1974,1978
Jimmy,1978,1982
Walter,1982,1986
Michael,1986,1990
Robert,1994,1998
Albert,1998,2002
Mitt,2010,2014
